Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 01:40:13.352000,BOT,77,0 days 00:01:20.421000,64.0,2.0,,,0 days 00:00:22.517000,0 days 00:00:30.104000,0 days 00:00:27.800000,0 days 01:39:15.462000,0 days 01:39:45.566000,0 days 01:40:13.366000,280.0,264.0,283.0,309.0,False,MEDIUM,45.0,True,Mercedes,0 days 01:38:52.931000,2018-05-13 14:44:59.755,1,2.0,False,,False,True,17.0,49.5,1001.6,False,30.9,90,2.3
0 days 01:41:34.482000,BOT,77,0 days 00:01:21.130000,65.0,2.0,,,0 days 00:00:22.685000,0 days 00:00:30.229000,0 days 00:00:28.216000,0 days 01:40:36.051000,0 days 01:41:06.280000,0 days 01:41:34.496000,276.0,257.0,290.0,,False,MEDIUM,46.0,True,Mercedes,0 days 01:40:13.352000,2018-05-13 14:46:20.176,1,2.0,False,,False,True,16.9,49.5,1001.5,False,30.7,99,2.3
0 days 00:21:52.753000,ERI,9,0 days 00:01:28.655000,7.0,1.0,,,0 days 00:00:25.657000,0 days 00:00:33.106000,0 days 00:00:29.892000,0 days 00:20:49.766000,0 days 00:21:22.872000,0 days 00:21:52.764000,240.0,229.0,276.0,307.0,True,MEDIUM,6.0,True,Sauber,0 days 00:20:24.098000,2018-05-13 13:26:30.922,1,15.0,False,,False,True,16.7,51.5,1001.3,False,36.6,37,0.9
0 days 00:23:18.783000,ERI,9,0 days 00:01:26.030000,8.0,1.0,,,0 days 00:00:24.221000,0 days 00:00:32.219000,0 days 00:00:29.590000,0 days 00:22:16.985000,0 days 00:22:49.204000,0 days 00:23:18.794000,260.0,238.0,276.0,,True,MEDIUM,7.0,True,Sauber,0 days 00:21:52.753000,2018-05-13 13:27:59.577,1,15.0,False,,False,True,16.3,50.9,1001.4,False,36.7,52,1.0
0 days 00:43:05.698000,ERI,9,0 days 00:01:24.217000,22.0,1.0,,,0 days 00:00:23.738000,0 days 00:00:31.630000,0 days 00:00:28.849000,0 days 00:42:05.230000,0 days 00:42:36.860000,0 days 00:43:05.709000,274.0,263.0,277.0,308.0,False,MEDIUM,21.0,True,Sauber,0 days 00:41:41.481000,2018-05-13 13:47:48.305,1,12.0,False,,False,True,15.7,52.8,1001.5,False,29.7,57,2.5
0 days 01:34:34.704000,ERI,9,0 days 00:01:23.290000,58.0,2.0,,,0 days 00:00:23.746000,0 days 00:00:31.075000,0 days 00:00:28.469000,0 days 01:33:35.171000,0 days 01:34:06.246000,0 days 01:34:34.715000,275.0,267.0,277.0,,False,SOFT,23.0,True,Sauber,0 days 01:33:11.414000,2018-05-13 14:39:18.238,1,12.0,False,,False,True,16.9,49.5,1001.6,False,32.9,64,2.5
0 days 01:35:58.962000,ERI,9,0 days 00:01:24.258000,59.0,2.0,,,0 days 00:00:23.528000,0 days 00:00:31.991000,0 days 00:00:28.739000,0 days 01:34:58.243000,0 days 01:35:30.234000,0 days 01:35:58.973000,271.0,262.0,280.0,306.0,False,SOFT,24.0,True,Sauber,0 days 01:34:34.704000,2018-05-13 14:40:41.528,1,12.0,False,,False,True,16.7,50.4,1001.5,False,32.4,279,2.2
0 days 01:37:21.623000,ERI,9,0 days 00:01:22.661000,60.0,2.0,,,0 days 00:00:23.364000,0 days 00:00:30.820000,0 days 00:00:28.477000,0 days 01:36:22.337000,0 days 01:36:53.157000,0 days 01:37:21.634000,279.0,275.0,280.0,311.0,False,SOFT,25.0,True,Sauber,0 days 01:35:58.962000,2018-05-13 14:42:05.786,1,12.0,False,,False,True,17.0,49.1,1001.5,False,32.4,52,2.4
0 days 01:38:44.469000,ERI,9,0 days 00:01:22.846000,61.0,2.0,,,0 days 00:00:23.431000,0 days 00:00:30.939000,0 days 00:00:28.476000,0 days 01:37:45.065000,0 days 01:38:16.004000,0 days 01:38:44.480000,277.0,274.0,280.0,308.0,False,SOFT,26.0,True,Sauber,0 days 01:37:21.623000,2018-05-13 14:43:28.447,1,12.0,False,,False,True,17.0,50.1,1001.6,False,32.3,64,2.2
0 days 01:40:09.260000,ERI,9,0 days 00:01:24.791000,62.0,2.0,,,0 days 00:00:24.375000,0 days 00:00:31.448000,0 days 00:00:28.968000,0 days 01:39:08.855000,0 days 01:39:40.303000,0 days 01:40:09.271000,270.0,263.0,281.0,,False,SOFT,27.0,True,Sauber,0 days 01:38:44.469000,2018-05-13 14:44:51.293,1,13.0,False,,False,True,17.0,49.5,1001.6,False,30.9,90,2.3
0 days 01:41:33.757000,ERI,9,0 days 00:01:24.497000,63.0,2.0,,,0 days 00:00:24.450000,0 days 00:00:31.390000,0 days 00:00:28.657000,0 days 01:40:33.721000,0 days 01:41:05.111000,0 days 01:41:33.768000,275.0,261.0,281.0,309.0,False,SOFT,28.0,True,Sauber,0 days 01:40:09.260000,2018-05-13 14:46:16.084,1,13.0,False,,False,True,16.9,49.5,1001.5,False,30.7,99,2.3
0 days 01:42:58.298000,ERI,9,0 days 00:01:24.541000,64.0,2.0,,,0 days 00:00:24.334000,0 days 00:00:31.153000,0 days 00:00:29.054000,0 days 01:41:58.102000,0 days 01:42:29.255000,0 days 01:42:58.309000,269.0,259.0,274.0,,False,SOFT,29.0,True,Sauber,0 days 01:41:33.757000,2018-05-13 14:47:40.581,1,13.0,False,,False,True,16.9,49.5,1001.5,False,30.7,99,2.3
